ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,6.4,126,1176,866,5,2,2,1,20.0,7,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,6.5,352,1382,866,5,2,3,2,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,6.6,162,1756,866,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,7.1,742,0,1236,5,2,3,3,20.0,28,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,7.2,742,1176,1236,5,2,3,3,20.0,28,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,8.1,162,0,1606,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,8.2,352,184,1606,5,2,3,2,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,8.3,126,616,1606,5,2,2,1,20.0,7,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,8.4,126,1176,1606,5,2,2,1,20.0,7,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,8.5,352,1382,1606,5,2,3,2,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,8.6,162,1756,1606,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,9.1,642,638,1747,5,2,3,3,20.0,26,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,10.1,162,0,1828,5,2,2,1,20.0,8,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,10.2,330,184,1828,5,2,3,2,20.0,16,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,10.3,330,1404,1828,5,2,3,2,20.0,16,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,10.4,162,1756,1828,5,2,2,1,20.0,8,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,11.1,288,184,2120,5,2,3,2,20.0,15,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,11.2,288,1446,2120,5,2,3,2,20.0,15,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,12.1,155,793,2350,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,12.2,155,970,2350,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,13.1,120,162,2472,5,2,2,1,20.0,7,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,13.2,171,385,2472,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,13.3,171,1362,2472,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_C_II_3_MGP10_ATS,1,X,149754.6720458641,0.43063709762449365,0.423886753055761,,,105.7286963699472,105.7286963699472,4366070.964799999,13.4,120,1636,2472,5,2,2,1,20.0,7,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,1.1,120,162,0,5,2,2,2,20.0,9,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,1.2,171,385,0,5,2,3,2,20.0,12,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,1.3,171,1362,0,5,2,3,2,20.0,12,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,1.4,120,1636,0,5,2,2,2,20.0,9,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,2.1,155,793,122,5,2,2,2,20.0,10,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,2.2,155,970,122,5,2,2,2,20.0,10,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,3.1,288,184,352,5,2,3,3,20.0,17,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,3.2,288,1446,352,5,2,3,3,20.0,17,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,4.1,162,0,644,5,2,2,2,20.0,10,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,4.2,330,184,644,5,2,3,2,20.0,16,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,4.3,330,1404,644,5,2,3,2,20.0,16,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,4.4,162,1756,644,5,2,2,2,20.0,10,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,5.1,642,638,725,5,2,4,3,20.0,28,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,6.1,162,0,866,5,2,2,2,20.0,10,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,6.2,352,184,866,5,2,3,2,20.0,17,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,6.3,126,616,866,5,2,2,1,20.0,7,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,6.4,126,1176,866,5,2,2,1,20.0,7,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,6.5,352,1382,866,5,2,3,2,20.0,17,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,6.6,162,1756,866,5,2,2,2,20.0,10,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,7.1,742,0,1236,5,2,3,3,20.0,28,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,7.2,742,1176,1236,5,2,3,3,20.0,28,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,8.1,162,0,1606,5,2,2,2,20.0,10,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,8.2,352,184,1606,5,2,3,2,20.0,17,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,8.3,126,616,1606,5,2,2,1,20.0,7,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,8.4,126,1176,1606,5,2,2,1,20.0,7,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,8.5,352,1382,1606,5,2,3,2,20.0,17,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,8.6,162,1756,1606,5,2,2,2,20.0,10,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,9.1,642,638,1747,5,2,4,3,20.0,28,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,10.1,162,0,1828,5,2,2,2,20.0,10,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,10.2,330,184,1828,5,2,3,2,20.0,16,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,10.3,330,1404,1828,5,2,3,2,20.0,16,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,10.4,162,1756,1828,5,2,2,2,20.0,10,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,11.1,288,184,2120,5,2,3,3,20.0,17,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,11.2,288,1446,2120,5,2,3,3,20.0,17,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,12.1,155,793,2350,5,2,2,2,20.0,10,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,12.2,155,970,2350,5,2,2,2,20.0,10,3.81
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,13.1,120,162,2472,5,2,2,2,20.0,9,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,13.2,171,385,2472,5,2,3,2,20.0,12,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,13.3,171,1362,2472,5,2,3,2,20.0,12,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,149718.07142036408,0.39798836219971284,0.4642444559959319,,,115.07485346299529,98.79336923757567,4366070.964799999,13.4,120,1636,2472,5,2,2,2,20.0,9,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,1.1,120,162,0,5,2,2,1,20.0,7,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,1.2,171,385,0,5,2,2,2,20.0,10,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,1.3,171,1362,0,5,2,2,2,20.0,10,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,1.4,120,1636,0,5,2,2,1,20.0,7,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,2.1,155,793,122,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,2.2,155,970,122,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,3.1,288,184,352,5,2,2,2,20.0,13,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,3.2,288,1446,352,5,2,2,2,20.0,13,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,4.1,162,0,644,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,4.2,330,184,644,5,2,2,2,20.0,14,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,4.3,330,1404,644,5,2,2,2,20.0,14,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,4.4,162,1756,644,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,5.1,642,638,725,5,2,3,2,20.0,24,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,6.1,162,0,866,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,6.2,352,184,866,5,2,2,2,20.0,15,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,6.3,126,616,866,5,2,2,1,20.0,7,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,6.4,126,1176,866,5,2,2,1,20.0,7,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,6.5,352,1382,866,5,2,2,2,20.0,15,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,6.6,162,1756,866,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,7.1,742,0,1236,5,2,3,2,20.0,26,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,7.2,742,1176,1236,5,2,3,2,20.0,26,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,8.1,162,0,1606,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,8.2,352,184,1606,5,2,2,2,20.0,15,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,8.3,126,616,1606,5,2,2,1,20.0,7,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,8.4,126,1176,1606,5,2,2,1,20.0,7,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,8.5,352,1382,1606,5,2,2,2,20.0,15,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,8.6,162,1756,1606,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,9.1,642,638,1747,5,2,3,2,20.0,24,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,10.1,162,0,1828,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,10.2,330,184,1828,5,2,2,2,20.0,14,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,10.3,330,1404,1828,5,2,2,2,20.0,14,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,10.4,162,1756,1828,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,11.1,288,184,2120,5,2,2,2,20.0,13,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,11.2,288,1446,2120,5,2,2,2,20.0,13,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,12.1,155,793,2350,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,12.2,155,970,2350,5,2,2,1,20.0,8,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,13.1,120,162,2472,5,2,2,1,20.0,7,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,13.2,171,385,2472,5,2,2,2,20.0,10,2.54
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,147131.2590278641,0.45095218074780735,0.6706023588135842,,,85.91780311818307,50.6848499813408,4366070.964799999,13.3,171,1362,2472,5,2,2,2,20.0,10,2.54
